model_key,candidates,queries,valid,invalid,inference_errors,OBA_n,OBA_d,OBA_rate,EBA_n,EBA_d,EBA_rate,PBC_n,PBC_d,PBC_rate,CRF_n,CRF_d,CRF_rate,stage1_n,stage2_n,stage3_n,stage4_n,stage5_n
qwen3_vl_8b_instruct,91,546,546,0,0,90,91,0.989010989010989,84,91,0.9230769230769231,83,91,0.9120879120879121,0,48,0.0,13,0,30,0,48
internvl3_5_8b_instruct,91,546,546,0,0,90,91,0.989010989010989,85,91,0.9340659340659341,85,91,0.9340659340659341,0,49,0.0,15,0,27,0,49
gemma3_12b_it,91,546,546,0,0,87,91,0.9560439560439561,77,91,0.8461538461538461,73,91,0.8021978021978022,0,27,0.0,29,1,34,0,27
llava_onevision2_8b_instruct,91,546,546,0,0,90,91,0.989010989010989,87,91,0.9560439560439561,86,91,0.945054945054945,0,49,0.0,15,1,26,0,49
