model_key,pair_level__pass_to_pass__n,pair_level__pass_to_pass__denominator,pair_level__pass_to_pass__percent,pair_level__pass_to_fail__n,pair_level__pass_to_fail__denominator,pair_level__pass_to_fail__percent,pair_level__fail_to_pass__n,pair_level__fail_to_pass__denominator,pair_level__fail_to_pass__percent,pair_level__fail_to_fail__n,pair_level__fail_to_fail__denominator,pair_level__fail_to_fail__percent,object_a__correct_to_correct__n,object_a__correct_to_correct__denominator,object_a__correct_to_correct__percent,object_a__correct_to_incorrect__n,object_a__correct_to_incorrect__denominator,object_a__correct_to_incorrect__percent,object_a__incorrect_to_correct__n,object_a__incorrect_to_correct__denominator,object_a__incorrect_to_correct__percent,object_a__incorrect_to_incorrect__n,object_a__incorrect_to_incorrect__denominator,object_a__incorrect_to_incorrect__percent,object_b__correct_to_correct__n,object_b__correct_to_correct__denominator,object_b__correct_to_correct__percent,object_b__correct_to_incorrect__n,object_b__correct_to_incorrect__denominator,object_b__correct_to_incorrect__percent,object_b__incorrect_to_correct__n,object_b__incorrect_to_correct__denominator,object_b__incorrect_to_correct__percent,object_b__incorrect_to_incorrect__n,object_b__incorrect_to_incorrect__denominator,object_b__incorrect_to_incorrect__percent,original_failure_types__a_only_failure__n,original_failure_types__a_only_failure__denominator,original_failure_types__a_only_failure__percent,original_failure_types__b_only_failure__n,original_failure_types__b_only_failure__denominator,original_failure_types__b_only_failure__percent,original_failure_types__a_and_b_failure__n,original_failure_types__a_and_b_failure__denominator,original_failure_types__a_and_b_failure__percent,original_failure_types__both_pass__n,original_failure_types__both_pass__denominator,original_failure_types__both_pass__percent,edited_failure_types__a_only_failure__n,edited_failure_types__a_only_failure__denominator,edited_failure_types__a_only_failure__percent,edited_failure_types__b_only_failure__n,edited_failure_types__b_only_failure__denominator,edited_failure_types__b_only_failure__percent,edited_failure_types__a_and_b_failure__n,edited_failure_types__a_and_b_failure__denominator,edited_failure_types__a_and_b_failure__percent,edited_failure_types__both_pass__n,edited_failure_types__both_pass__denominator,edited_failure_types__both_pass__percent,stage3_failure_types__a_only_failure__n,stage3_failure_types__a_only_failure__denominator,stage3_failure_types__a_only_failure__percent,stage3_failure_types__b_only_failure__n,stage3_failure_types__b_only_failure__denominator,stage3_failure_types__b_only_failure__percent,stage3_failure_types__a_and_b_failure__n,stage3_failure_types__a_and_b_failure__denominator,stage3_failure_types__a_and_b_failure__percent
qwen3_vl_8b_instruct,48,91,52.74725274725275,30,91,32.967032967032964,3,91,3.296703296703297,10,91,10.989010989010989,62,91,68.13186813186813,21,91,23.076923076923077,4,91,4.395604395604396,4,91,4.395604395604396,72,91,79.12087912087912,14,91,15.384615384615385,2,91,2.197802197802198,3,91,3.296703296703297,8,91,8.791208791208792,5,91,5.4945054945054945,0,91,0.0,78,91,85.71428571428571,23,91,25.274725274725274,15,91,16.483516483516482,2,91,2.197802197802198,51,91,56.043956043956044,18,30,60.0,11,30,36.666666666666664,1,30,3.3333333333333335
internvl3_5_8b_instruct,49,91,53.84615384615385,27,91,29.67032967032967,3,91,3.296703296703297,12,91,13.186813186813188,58,91,63.73626373626373,23,91,25.274725274725274,7,91,7.6923076923076925,3,91,3.296703296703297,72,91,79.12087912087912,13,91,14.285714285714285,3,91,3.296703296703297,3,91,3.296703296703297,9,91,9.89010989010989,5,91,5.4945054945054945,1,91,1.098901098901099,76,91,83.51648351648352,23,91,25.274725274725274,13,91,14.285714285714285,3,91,3.296703296703297,52,91,57.14285714285714,18,27,66.66666666666666,7,27,25.925925925925924,2,27,7.4074074074074066
gemma3_12b_it,28,91,30.76923076923077,34,91,37.362637362637365,8,91,8.791208791208792,21,91,23.076923076923077,48,91,52.74725274725275,23,91,25.274725274725274,11,91,12.087912087912088,9,91,9.89010989010989,59,91,64.83516483516483,23,91,25.274725274725274,2,91,2.197802197802198,7,91,7.6923076923076925,20,91,21.978021978021978,9,91,9.89010989010989,0,91,0.0,62,91,68.13186813186813,25,91,27.472527472527474,23,91,25.274725274725274,7,91,7.6923076923076925,36,91,39.56043956043956,17,34,50.0,13,34,38.23529411764706,4,34,11.76470588235294
llava_onevision2_8b_instruct,49,91,53.84615384615385,27,91,29.67032967032967,7,91,7.6923076923076925,8,91,8.791208791208792,64,91,70.32967032967034,18,91,19.78021978021978,6,91,6.593406593406594,3,91,3.296703296703297,70,91,76.92307692307693,15,91,16.483516483516482,4,91,4.395604395604396,2,91,2.197802197802198,9,91,9.89010989010989,6,91,6.593406593406594,0,91,0.0,76,91,83.51648351648352,18,91,19.78021978021978,14,91,15.384615384615385,3,91,3.296703296703297,56,91,61.53846153846154,13,26,50.0,11,26,42.30769230769231,2,26,7.6923076923076925
